Error,ErrorRate,ControlSignal
0.11706,-0.3,-0.42998
0.71895,599.7,-122.84
0.72083,-0.3,-2.854
0.67877,-5.1828,-1.7163
0.56346,-14.948,0.69185
0.40421,-14.948,1.3241
0.29867,-5.1828,-0.21029
0.23708,-5.1828,0.033472
0.1999,-5.1828,0.18002
0.14807,-5.1828,0.38562
0.11089,-5.1828,0.53305
0.073711,-5.1828,0.68087
0.05118,-0.3,-0.20618
0.028648,-0.3,-0.11644
0.0061172,-5.1828,0.95007
-0.02618,-5.1828,1.0794
-0.053594,-5.1828,1.1894
-0.071242,-0.3,0.28409
-0.088891,-0.3,0.3555
-0.12119,-0.3,0.48575
-0.1486,-5.1828,1.5733
-0.17113,-5.1828,1.6651
-0.1839,-0.3,0.74134
-0.20643,-0.3,0.83344
-0.22408,-5.1828,1.8828
-0.23684,-0.3,0.95957
-0.24473,-0.3,0.99354
-0.25261,-0.3,1.0276
-0.24584,-0.3,1.003
-0.23908,-0.3,0.97834
-0.22743,-0.3,0.93408
-0.21578,-0.3,0.88969
-0.19925,-0.3,0.82562
-0.1876,-0.3,0.78094
-0.17107,-0.3,0.71659
-0.1643,-0.3,0.69121
-0.15754,-0.3,0.66575
-0.15566,-0.3,0.65978
-0.15377,-0.3,0.65379
-0.15677,-0.3,0.66735
-0.15977,-0.3,0.68093
-0.16766,-0.3,0.7141
-0.17066,-0.3,0.72778
-0.17366,-0.3,0.74151
-0.17177,-0.3,0.73571
-0.17477,-0.3,0.74945
-0.16801,-0.3,0.72409
-0.16613,-0.3,0.71822
-0.15448,-0.3,0.67321
-0.14771,-0.3,0.64765
-0.13606,-0.3,0.60245
-0.12441,-0.3,0.55714
-0.11277,-0.3,0.51171
-0.10112,-0.3,0.46617
-0.089469,-0.3,0.42053
-0.082703,4.5828,-0.58222
-0.075937,-0.3,0.36806
-0.074055,-0.3,0.36127
-0.072172,-0.3,0.35447
-0.075172,-0.3,0.36721
-0.078172,-0.3,0.37998
-0.086055,-0.3,0.41233
-0.089055,-0.3,0.4252
-0.092055,-0.3,0.43809
-0.090172,-0.3,0.43146
-0.088289,4.5828,-0.55174
-0.086406,-0.3,0.41816
-0.079641,-0.3,0.39192
-0.072875,-0.3,0.36561
-0.070992,-0.3,0.35879
-0.064227,-0.3,0.33238
-0.062344,-0.3,0.32547
-0.060461,-0.3,0.31853
-0.058578,-0.3,0.31159
-0.061578,-5.1828,1.3007
-0.059695,4.5828,-0.65932
-0.062695,-0.3,0.32986
-0.060813,-0.3,0.32292
-0.063812,-0.3,0.33555
-0.06193,4.5828,-0.64791
-0.06493,-0.3,0.34129
-0.063047,-0.3,0.33438
-0.061164,-0.3,0.32747
-0.059281,-0.3,0.32054
-0.052516,-0.3,0.29403
-0.050633,-0.3,0.28701
-0.043867,-0.3,0.26041
-0.041984,-0.3,0.25332
-0.040102,-0.3,0.2462
-0.038219,-0.3,0.23905
-0.036336,-0.3,0.23187
-0.65017,-13.887,5.3781
-0.78741,-13.593,5.8682
-0.92668,-13.315,6.3697
-1.034,-8.1758,5.7711
-0.63593,65.298,-10.516
0.11584,80.149,-16.493
0.65463,31.492,-8.9168
0.77013,2.3309,-3.5467
0.79401,2.4303,-3.6621
0.81868,17.14,-6.7027
0.84375,-7.2524,-1.9245
0.76628,-2.3874,-2.5876
0.84954,2.4382,-3.8858
0.92226,7.2253,-5.1341
0.95963,2.2099,-4.2805
0.98084,2.0425,-4.3319
1.01,6.7257,-5.385
1.0369,1.6141,-4.4705
1.0566,6.2428,-5.4748
1.0687,1.0844,-4.4915
1.0779,0.79164,-4.47
1.0842,0.48644,-4.4339
1.0873,0.17357,-4.3839
1.0873,-0.14205,-4.3208
1.0842,-0.45542,-4.2455
1.0779,-0.76161,-4.1593
1.0687,-1.0558,-4.0635
1.0566,-1.3333,-3.9596
1.0418,-1.5898,-3.8492
1.0246,-1.8212,-3.7342
1.0053,-2.0239,-3.6162
0.98405,-2.1947,-3.4972
0.96132,-2.3309,-3.3791
0.93743,-2.4303,-3.2637
0.91276,-2.4914,-3.1528
0.8877,-2.5132,-3.0481
0.86263,-2.4954,-2.9514
0.83796,-2.4382,-2.8642
0.81407,-2.3425,-2.7878
0.79134,-2.2099,-2.7234
0.77014,-2.0425,-2.6721
0.75079,-1.8429,-2.6346
0.73359,-1.6141,-2.6115
0.71883,-1.36,-2.6033
0.70673,-1.0844,-2.61
0.69748,-0.79164,-2.6316
0.69124,-0.48644,-2.6677
0.68809,-5.0564,-1.7411
0.68809,0.14205,-2.7808
0.69612,0.45542,-2.8756
0.69748,0.76161,-2.9423
0.71161,1.0558,-3.0576
0.71883,-3.5495,-2.1654
0.73848,1.5898,-3.2719
0.75079,1.8212,-3.3674
0.77502,2.0239,-3.5049
0.79134,2.1947,-3.6043
0.81895,2.3309,-3.742
0.83796,2.4303,-3.8379
0.86751,2.4914,-3.9683
0.8877,2.5132,-4.0534
0.91276,-2.3874,-3.1736
0.93743,2.4382,-4.2374
0.9662,2.3425,-4.3333
0.98405,2.2099,-4.3782
1.0053,2.0425,-4.4295
1.0246,1.8429,-4.467
1.0418,-3.2687,-3.5135
1.0566,1.36,-4.4982
1.0687,1.0844,-4.4915
1.0779,0.79164,-4.47
1.0842,0.48644,-4.4339
1.0873,0.17357,-4.3839
1.0873,-0.14205,-4.3208
1.0842,-0.45542,-4.2455
1.0779,-0.76161,-4.1593
1.0687,-1.0558,-4.0635
1.0566,-1.3333,-3.9596
1.0418,-1.5898,-3.8492
1.0246,-1.8212,-3.7342
1.0004,-6.9068,-2.6201
0.98405,-2.1947,-3.4972
0.96132,-2.3309,-3.3791
0.93743,-2.4303,-3.2637
0.91276,-2.4914,-3.1528
0.8877,-2.5132,-3.0481
0.85775,-7.3782,-1.9553
0.83796,-2.4382,-2.8642
0.80919,-7.2253,-1.7917
0.79134,-2.2099,-2.7234
0.76526,-2.0425,-2.6525
0.75079,-1.8429,-2.6346
0.72871,-1.6141,-2.592
0.71883,-1.36,-2.6033
0.70185,-1.0844,-2.5905
0.69748,-0.79164,-2.6316
0.69124,4.3964,-3.6442
0.68809,-0.17357,-2.7176
0.68809,5.0249,-3.7573
0.69124,0.45542,-2.856
0.69748,5.6444,-3.9188
0.70673,1.0558,-3.0381
0.71883,1.3333,-3.142
0.73359,1.5898,-3.2523
0.75079,1.8212,-3.3674
0.77014,2.0239,-3.4853
0.79134,2.1947,-3.6043
0.81407,2.3309,-3.7225
0.83796,2.4303,-3.8379
0.86263,2.4914,-3.9488
0.8877,2.5132,-4.0534
0.91276,2.4954,-4.1501
0.93743,2.4382,-4.2374
0.96132,2.3425,-4.3138
0.98405,2.2099,-4.3782
1.0053,2.0425,-4.4295
1.0246,1.8429,-4.467
1.0418,1.6141,-4.49
1.0566,1.36,-4.4982
1.0687,1.0844,-4.4915
1.0779,0.79164,-4.47
1.0842,0.48644,-4.4339
1.0873,0.17357,-4.3839
1.0873,-0.14205,-4.3208
1.0842,-0.45542,-4.2455
1.0779,-0.76161,-4.1593
1.0687,-1.0558,-4.0635
1.0566,-1.3333,-3.9596
1.0418,-1.5898,-3.8492
1.0246,-1.8212,-3.7342
1.0053,-2.0239,-3.6162
0.98405,-2.1947,-3.4972
0.96132,-2.3309,-3.3791
0.93743,-2.4303,-3.2637
0.91276,-2.4914,-3.1528
0.8877,-2.5132,-3.0481
0.86263,-2.4954,-2.9514
0.83796,-2.4382,-2.8642
0.81407,-2.3425,-2.7878
0.79134,-2.2099,-2.7234
0.77014,-2.0425,-2.6721
0.75079,-1.8429,-2.6346
0.73359,-1.6141,-2.6115
0.71883,-1.36,-2.6033
0.70673,-1.0844,-2.61
0.69748,-0.79164,-2.6316
0.69124,-0.48644,-2.6677
0.68809,-0.17357,-2.7176
0.68809,0.14205,-2.7808
0.69124,0.45542,-2.856
0.69748,0.76161,-2.9423
0.71161,1.0558,-3.0576
0.71883,1.3333,-3.142
0.73848,1.5898,-3.2719
0.75567,6.7041,-4.3635
0.77502,2.0239,-3.5049
0.79623,2.1947,-3.6239
0.81895,2.3309,-3.742
0.84284,2.4303,-3.8574
0.86751,2.4914,-3.9683
0.89258,2.5132,-4.073
0.91764,2.4954,-4.1697
0.94232,2.4382,-4.2569
0.9662,2.3425,-4.3333
0.98893,2.2099,-4.3977
1.0101,2.0425,-4.449
1.0295,1.8429,-4.4865
1.0467,1.6141,-4.5096
1.0614,1.36,-4.5178
1.0784,1.0844,-4.5306
1.0877,0.79164,-4.509
1.0939,0.48644,-4.473
1.0971,0.17357,-4.423
1.0971,-0.14205,-4.3599
1.0939,-0.45542,-4.2846
1.0877,-0.76161,-4.1984
1.0784,-1.0558,-4.1025
1.0712,3.5495,-4.9947
1.0516,-1.5898,-3.8883
1.0344,-1.8212,-3.7732
1.015,-2.0239,-3.6553
0.99869,-2.1947,-3.5558
0.97109,-2.3309,-3.4182
0.95208,-2.4303,-3.3223
0.92253,-2.4914,-3.1918
0.90234,-2.5132,-3.1067
0.87239,-7.3782,-2.0139
0.85261,-2.4382,-2.9228
0.82872,2.5403,-3.8229
0.80599,-2.2099,-2.782
0.7799,-6.9253,-1.7346
0.76543,-1.8429,-2.6932
0.74824,-1.6141,-2.6701
0.73348,-1.36,-2.6619
0.72138,-1.0844,-2.6686
0.71213,-0.79164,-2.6902
0.70589,-0.48644,-2.7263
0.70274,-0.17357,-2.7762
0.70274,0.14205,-2.8394
0.70589,0.45542,-2.9146
0.71213,0.76161,-3.0009
0.72138,1.0558,-3.0967
0.73348,1.3333,-3.2006
0.74824,1.5898,-3.3109
0.76543,1.8212,-3.426
0.78479,2.0239,-3.5439
0.80599,2.1947,-3.6629
0.82872,2.3309,-3.7811
0.85261,2.4303,-3.8965
0.87728,2.4914,-4.0074
0.90234,2.5132,-4.112
0.92741,-2.3874,-3.2322
0.95208,2.4382,-4.296
0.98085,2.3425,-4.3919
0.99869,2.2099,-4.4368
1.0248,2.0425,-4.5076
1.0393,1.8429,-4.5256
1.0613,1.6141,-4.5681
1.0761,6.2428,-5.5529
1.0882,1.0844,-4.5696
1.0926,-4.0912,-3.552
1.1037,0.48644,-4.512
1.1019,0.17357,-4.4425
1.1068,-0.14205,-4.3989
1.1037,-0.45542,-4.3237
1.0974,-0.76161,-4.2374
1.0882,-1.0558,-4.1416
1.0761,-1.3333,-4.0377
1.0613,-1.5898,-3.9274
1.0441,-1.8212,-3.8123
1.0248,-2.0239,-3.6943
1.0036,-2.1947,-3.5754
0.98085,-2.3309,-3.4572
0.95696,-2.4303,-3.3418
0.93229,-2.4914,-3.2309
0.90723,-2.5132,-3.1263
0.88216,-2.4954,-3.0296
0.85749,-2.4382,-2.9423
0.8336,-2.3425,-2.8659
0.81088,-2.2099,-2.8015
0.78967,-2.0425,-2.7502
0.7752,-1.8429,-2.7322
0.75801,-1.6141,-2.7092
0.74324,-1.36,-2.701
0.73114,-1.0844,-2.7077
0.7219,-0.79164,-2.7293
0.71565,-0.48644,-2.7653
0.7125,-0.17357,-2.8153
0.7125,0.14205,-2.8784
0.71565,0.45542,-2.9537
0.7219,0.76161,-3.0399
0.73114,1.0558,-3.1357
0.74324,1.3333,-3.2396
0.75801,1.5898,-3.35
0.7752,1.8212,-3.465
0.79455,2.0239,-3.583
0.81576,2.1947,-3.702
0.83848,2.3309,-3.8201
0.86237,2.4303,-3.9356
0.88704,2.4914,-4.0465
0.91211,2.5132,-4.1511
0.93718,2.4954,-4.2478
0.96185,2.4382,-4.335
0.98573,2.3425,-4.4114
1.0085,2.2099,-4.4758
1.0297,2.0425,-4.5272
1.049,1.8429,-4.5646
1.0662,1.6141,-4.5877
1.081,1.36,-4.5959
1.0931,1.0844,-4.5892
1.1023,0.79164,-4.5676
1.1086,0.48644,-4.5316
1.1117,0.17357,-4.4816
1.1117,-0.14205,-4.4184
1.1086,-0.45542,-4.3432
1.1023,-0.76161,-4.257
1.0931,-1.0558,-4.1611
1.081,-1.3333,-4.0572
1.0662,-1.5898,-3.9469
1.049,-1.8212,-3.8318
1.0297,-2.0239,-3.7139
1.0085,-2.1947,-3.5949
0.98573,-2.3309,-3.4768
0.96185,-2.4303,-3.3613
0.93718,-2.4914,-3.2504
0.91211,-2.5132,-3.1458
0.88704,-2.4954,-3.0491
0.86237,-2.4382,-2.9618
0.83848,-2.3425,-2.8854
0.81576,-2.2099,-2.821
0.79455,-2.0425,-2.7697
0.7752,-1.8429,-2.7322
0.75801,-1.6141,-2.7092
0.74324,-1.36,-2.701
0.73114,-1.0844,-2.7077
0.7219,-0.79164,-2.7293
0.71565,-0.48644,-2.7653
0.7125,-0.17357,-2.8153
0.7125,0.14205,-2.8784
0.71565,0.45542,-2.9537
0.7219,0.76161,-3.0399
0.73114,1.0558,-3.1357
0.74324,1.3333,-3.2396
0.75801,1.5898,-3.35
0.7752,1.8212,-3.465
0.79455,2.0239,-3.583
0.81576,2.1947,-3.702
0.83848,2.3309,-3.8201
0.86237,2.4303,-3.9356
0.88704,2.4914,-4.0465
0.91211,2.5132,-4.1511
0.93718,2.4954,-4.2478
0.96185,2.4382,-4.335
0.98085,-2.5403,-3.4154
1.0085,2.2099,-4.4758
1.0248,-2.8403,-3.5311
1.049,1.8429,-4.5646
1.0613,1.6141,-4.5681
1.081,1.36,-4.5959
1.0882,1.0844,-4.5696
1.1023,0.79164,-4.5676
1.1037,-4.3964,-3.5355
1.1117,0.17357,-4.4816
1.1068,-0.14205,-4.3989
1.1086,-0.45542,-4.3432
1.0974,-5.6444,-3.2609
1.0931,-1.0558,-4.1611
1.081,-1.3333,-4.0572
1.0662,-1.5898,-3.9469
1.0441,-6.7041,-2.8357
1.0297,-2.0239,-3.7139
1.0085,-2.1947,-3.5949
0.98573,-2.3309,-3.4768
0.96185,-2.4303,-3.3613
0.93718,-2.4914,-3.2504
0.91211,-2.5132,-3.1458
0.88704,-2.4954,-3.0491
0.86237,-2.4382,-2.9618
0.83848,-2.3425,-2.8854
1.0387,804.48,-164.82
1.0347,-0.4,-3.8346
1.0063,-5.2828,-2.7546
0.90948,-15.048,-0.42401
0.71994,-24.814,2.2791
0.43762,-29.697,4.3793
0.18459,-19.931,3.4354
0.053641,-5.2828,1.0285
-0.0040703,-0.4,0.2826
-0.04225,-0.4,0.4356
-0.070664,-0.4,0.54985
-0.094195,-5.2828,1.6214
-0.12261,-0.4,0.75955
-0.16079,-0.4,0.91374
-0.18432,-0.4,1.0096
-0.20297,-0.4,1.0862
-0.23138,-5.2828,2.1786
-0.2598,-0.4,1.3181
-0.28821,-5.2828,2.4111
-0.31174,-5.2828,2.5082
-0.32551,-0.4,1.5899
-0.33927,-0.4,1.6483
-0.34327,-0.4,1.6677
-0.34239,-0.4,1.6677
-0.33174,-0.4,1.6284
-0.31621,4.4828,0.59299
-0.30068,-0.4,1.5105
-0.28515,-0.4,1.4513
-0.26473,4.4828,0.39582
-0.25409,-0.4,1.3324
-0.23855,-0.4,1.2727
-0.23279,-0.4,1.252
-0.22702,-0.4,1.2312
-0.22614,-0.4,1.23
-0.22526,-0.4,1.2287
-0.22926,-0.4,1.247
-0.22837,4.4828,0.26917
-0.23238,-0.4,1.2641
-0.23638,-0.4,1.2824
-0.23549,4.4828,0.3047
-0.23461,-0.4,1.2801
-0.23373,-0.4,1.2789
-0.22796,-0.4,1.2582
-0.2222,-0.4,1.2374
-0.21643,-0.4,1.2165
-0.20578,4.4828,0.19944
-0.20002,-0.4,1.155
-0.18937,4.4828,0.13776
-0.1836,-0.4,1.0931
-0.17784,-0.4,1.0719
-0.17207,-0.4,1.0505
-0.1663,-0.4,1.0292
-0.16054,4.4828,0.031186
-0.16454,-0.4,1.0254
-0.16366,-5.2828,2
-0.16277,-0.4,1.0216
-0.16189,-0.4,1.0197
-0.16589,-0.4,1.0373
-0.16501,-0.4,1.0354
-0.16413,4.4828,0.056995
-0.16324,-0.4,1.0317
-0.16236,-0.4,1.0298
-0.15171,4.4828,0.012185
-0.14595,-0.4,0.96719
-0.1353,-0.4,0.92599
-0.12465,4.4828,-0.091855
-0.114,-0.4,0.8433
-0.10335,-0.4,0.80179
-0.092703,-0.4,0.76016
-0.082055,-0.4,0.71844
-0.076289,-0.4,0.69616
-0.070523,4.4828,-0.30271
-0.069641,-0.4,0.67103
-0.068758,4.4828,-0.30835
-0.072758,-0.4,0.68493
-0.076758,-0.4,0.70169
-0.080758,-0.4,0.71848
-0.079875,-0.4,0.71576
-0.078992,-0.4,0.71303
-0.078109,-0.4,0.71029
-0.077227,-0.4,0.70753
-0.066578,4.4828,-0.31091
-0.060813,-0.4,0.64323
-0.050164,4.4828,-0.37536
-0.044398,-0.4,0.57861
-0.03375,-0.4,0.53641
-0.027984,-0.4,0.51365
-0.022219,-0.4,0.49083
-0.021336,-0.4,0.48751
-0.01557,-0.4,0.46463
-0.01957,-0.4,0.48081
-0.02357,-0.4,0.49703
-0.02757,-0.4,0.51328
-0.03157,-0.4,0.52959
-0.03557,-0.4,0.54593
-0.034688,-0.4,0.54274
-0.033805,-0.4,0.53954
-0.028039,-0.4,0.51679
-0.027156,-0.4,0.51354
-0.021391,4.4828,-0.48583
-0.025391,-0.4,0.50697
-0.019625,-0.4,0.48413
-0.018742,-0.4,0.48079
-0.017859,-0.4,0.47745
-0.016977,-0.4,0.47409
-0.016094,-0.4,0.47072
-0.010328,4.4828,-0.52877
-0.0094453,-0.4,0.44437
-0.0085625,-0.4,0.44092
-0.0027969,-0.4,0.4179
-0.0019141,-0.4,0.41439
0.0038516,-0.4,0.3913
0.0047344,-0.4,0.38772
0.0105,-0.4,0.36458
0.011383,-0.4,0.36094
0.012266,-0.4,0.35729
0.013148,-0.4,0.35362
0.018914,-0.4,0.33038
0.019797,-0.4,0.32665
0.02068,-0.4,0.32292
0.021562,-0.4,0.31917
0.022445,-0.4,0.31541
0.023328,-0.4,0.31165
0.029094,-0.4,0.28833
0.029977,-0.4,0.2845
0.035742,-0.4,0.2611
0.036625,-0.4,0.25721
0.042391,-0.4,0.23374
0.048156,-0.4,0.21022
0.053922,-0.4,0.18665
0.054805,4.4828,-0.79397
0.06057,4.4828,-0.8176
0.05657,-0.4,0.17438
0.062336,-0.4,0.1507
0.058336,-0.4,0.1661
0.059219,-0.4,0.16196
0.060102,-0.4,0.15782
0.060984,-0.4,0.15369
0.056984,-0.4,0.1691
0.052984,-5.2828,1.1611
0.053867,-0.4,0.18046
0.059633,-0.4,0.15683
0.060516,-0.4,0.15271
0.061398,-0.4,0.14856
0.067164,4.4828,-0.8517
0.068047,-0.4,0.12065
0.06893,-0.4,0.11642
0.074695,-0.4,0.092626
0.075578,-0.4,0.08834
0.076461,-0.4,0.084041
0.077344,-0.4,0.079728
0.078227,-0.4,0.075411
0.079109,-0.4,0.07109
0.079992,-0.4,0.066756
0.085758,-0.4,0.042852
0.091523,-0.4,0.018905
0.092406,-0.4,0.014471
0.093289,-0.4,0.010003
0.094172,-0.4,0.0055173
0.095055,-0.4,0.0010224
0.095937,-0.4,-0.0034814
0.09682,-0.4,-0.0079891
0.097703,-0.4,-0.012491
0.098586,-0.4,-0.017002
0.099469,-0.4,-0.021536
0.10523,-0.4,-0.045644
0.111,-0.4,-0.069791
0.11677,-0.4,-0.093995
0.12253,-0.4,-0.11825
0.1283,-0.4,-0.14259
0.13895,4.4828,-1.1631
0.14471,-0.4,-0.211
0.15048,-0.4,-0.23554
0.15624,-0.4,-0.26015
0.15712,-0.4,-0.26525
0.16289,4.4828,-1.2665
0.16377,-0.4,-0.29507
0.16466,-0.4,-0.30024
0.16066,-0.4,-0.28586
0.15666,-0.4,-0.27145
0.15754,-0.4,-0.27655
0.15354,-0.4,-0.26211
0.15442,-0.4,-0.26717
0.1553,-0.4,-0.27224
0.15619,-0.4,-0.27732
0.15707,-0.4,-0.28241
0.15795,-0.4,-0.28752
0.16372,-0.4,-0.31222
0.16948,4.4828,-1.3135
0.17525,4.4828,-1.3383
0.17613,-0.4,-0.36699
0.1819,-0.4,-0.39187
0.18766,-0.4,-0.41679
0.19343,-0.4,-0.44178
0.1992,-0.4,-0.46681
0.20496,4.4828,-1.4684
0.20584,-0.4,-0.49745
0.21161,-0.4,-0.52262
0.21249,-0.4,-0.52826
0.21826,4.4828,-1.53
1.0191,799.6,-163.76
1.0151,-0.4,-3.7542
0.98184,-5.2828,-2.6544
0.8753,-15.048,-0.28443
0.66623,-24.814,2.4973
0.39855,-24.814,3.5628
0.18948,-15.048,2.4433
0.097586,-5.2828,0.85636
0.044758,-5.2828,1.067
0.0065781,-0.4,0.24292
-0.031602,-0.4,0.39581
-0.064898,-5.2828,1.5061
-0.08843,-0.4,0.6244
-0.11196,-0.4,0.71954
-0.14526,-0.4,0.85403
-0.18832,-0.4,1.028
-0.21185,-0.4,1.1242
-0.22073,-0.4,1.1619
-0.2345,-0.4,1.2192
-0.25803,-0.4,1.3158
-0.28156,-0.4,1.4127
-0.30509,-0.4,1.5097
-0.32374,-5.2828,2.564
-0.33263,-0.4,1.6263
-0.33663,-0.4,1.6456
-0.33086,-0.4,1.6259
-0.32021,-0.4,1.5866
-0.2998,4.4828,0.53145
-0.28427,4.4828,0.47226
-0.26873,-0.4,1.3895
-0.2532,-0.4,1.3299
-0.23767,4.4828,0.29368
-0.23191,-0.4,1.2495
-0.22614,-0.4,1.2288
-0.22526,-0.4,1.2275
-0.22438,-0.4,1.2262
-0.23326,-5.2828,2.2406
-0.23238,-0.4,1.2628
-0.24126,-0.4,1.3007
-0.24526,-5.2828,2.2957
-0.24437,-0.4,1.3181
-0.24838,-0.4,1.3366
-0.24749,-0.4,1.3355
-0.24173,-0.4,1.3149
-0.23596,-0.4,1.2942
-0.22531,-0.4,1.2539
-0.21466,-0.4,1.2135
-0.20402,4.4828,0.1965
-0.19825,-0.4,1.152
-0.1876,4.4828,0.1348
-0.18184,-0.4,1.0902
-0.17607,-0.4,1.0689
-0.1703,-0.4,1.0475
-0.16454,-0.4,1.0261
-0.15877,-0.4,1.0047
-0.15789,-5.2828,1.9793
-0.15213,-0.4,0.9812
-0.15124,-0.4,0.97918
-0.15036,-0.4,0.97715
-0.14459,-0.4,0.95554
-0.13883,4.4828,-0.042651
-0.13306,-0.4,0.91223
-0.13218,-0.4,0.91002
-0.12153,4.4828,-0.10787
-0.11577,4.4828,-0.12972
-0.11,-0.4,0.82491
-0.10423,-0.4,0.80293
-0.098469,-0.4,0.78087
-0.092703,-0.4,0.75876
-0.086938,-0.4,0.73658
-0.086055,-0.4,0.73392
-0.080289,-0.4,0.71167
-0.079406,-0.4,0.70894
-0.078523,-0.4,0.70621
-0.077641,-0.4,0.70346
-0.076758,-0.4,0.70069
-0.075875,-0.4,0.69792
-0.074992,-0.4,0.69512
-0.069227,4.4828,-0.30377
-0.068344,-0.4,0.66996
-0.067461,-0.4,0.66711
-0.066578,-0.4,0.66425
-0.065695,-0.4,0.66138
-0.064812,-0.4,0.65848
-0.059047,-0.4,0.63602
-0.058164,-0.4,0.63308
-0.052398,-0.4,0.61057
-0.051516,-0.4,0.60756
-0.04575,-0.4,0.58498
-0.044867,-0.4,0.5819
-0.043984,-0.4,0.57881
-0.043102,-0.4,0.57569
-0.037336,4.4828,-0.42352
-0.041336,-0.4,0.56943
-0.03557,4.4828,-0.4298
-0.03957,-0.4,0.56314
-0.033805,-0.4,0.54045
-0.032922,-0.4,0.53726
-0.027156,4.4828,-0.46205
-0.026273,-0.4,0.51125
-0.020508,4.4828,-0.48813
-0.019625,-0.4,0.4851
-0.0089766,-0.4,0.44264
-0.0080938,-5.2828,1.4157
0.0025547,-0.4,0.3966
0.0034375,-0.4,0.39303
0.0092031,-0.4,0.3699
0.010086,-0.4,0.36627
0.010969,-0.4,0.36262
0.011852,-0.4,0.35897
0.012734,-0.4,0.35534
0.0087344,-0.4,0.37123
0.0096172,-0.4,0.3676
0.0105,-0.4,0.36395
0.016266,-0.4,0.34076
0.017148,4.4828,-0.63949
0.018031,-0.4,0.33336
0.023797,-0.4,0.31007
0.029563,-0.4,0.28675
0.030445,4.4828,-0.69363
0.036211,4.4828,-0.71701
0.032211,-0.4,0.27521
0.037977,-0.4,0.25179
0.033977,-0.4,0.26743
0.034859,-0.4,0.26357
0.030859,-0.4,0.27925
0.026859,-0.4,0.29497
0.022859,-0.4,0.3107
0.028625,-0.4,0.28736
0.024625,-5.2828,1.2797
0.030391,-0.4,0.27972
0.031273,-0.4,0.27588
0.037039,-0.4,0.25246
0.042805,4.4828,-0.74756
0.043687,-5.2828,1.2016
0.049453,-0.4,0.20148
0.050336,-0.4,0.19746
0.051219,-0.4,0.19341
0.052102,-0.4,0.18936
0.052984,4.4828,-0.79125
0.053867,-0.4,0.18125
0.05475,-0.4,0.17719
0.060516,4.4828,-0.823
0.061398,-0.4,0.14943
0.067164,-0.4,0.12572
0.07293,-0.4,0.10195
0.078695,-0.4,0.078109
0.079578,-0.4,0.073774
0.085344,-0.4,0.049859
0.086227,-0.4,0.045457
0.087109,-0.4,0.041047
0.087992,-0.4,0.036627
0.088875,-0.4,0.032199
0.089758,-0.4,0.027767
0.090641,-0.4,0.023341
0.091523,-0.4,0.018901
0.092406,-0.4,0.014442
0.093289,-0.4,0.0099696
0.099055,-0.4,-0.014077
0.10482,-0.4,-0.038181
0.11059,-0.4,-0.062334
0.11635,-0.4,-0.086529
0.12212,-0.4,-0.11079
0.123,-0.4,-0.11556
0.12877,4.4828,-1.1164
0.12965,4.4828,-1.1212
0.13053,-0.4,-0.14951
0.12653,-0.4,-0.1348
0.12741,-0.4,-0.13961
0.12341,-0.4,-0.12486
0.11941,-5.2828,0.86648
0.1203,-0.4,-0.11483
0.12118,-0.4,-0.11957
0.12206,-0.4,-0.12433
0.12295,-0.4,-0.1291
0.12383,-0.4,-0.13388
0.12959,-0.4,-0.15824
0.13536,4.4828,-1.1592
0.13624,-0.4,-0.18751
0.14201,4.4828,-1.1885
0.14289,-0.4,-0.21692
0.14866,4.4828,-1.218
0.14954,-0.4,-0.24646
0.15042,-0.4,-0.25151
0.1513,-0.4,-0.25656
0.15707,4.4828,-1.2577
0.15795,-0.4,-0.28627
0.15884,-0.4,-0.29138
0.15972,-0.4,-0.2965
0.16548,-0.4,-0.3212
0.17125,-0.4,-0.34596
0.17702,4.4828,-1.3473
0.18278,-0.4,-0.39561
0.18855,-0.4,-0.42052
0.19431,-0.4,-0.44551
0.20496,4.4828,-1.4667
0.21073,-0.4,-0.51524
0.22138,4.4828,-1.5366
0.22714,-0.4,-0.58529
0.23291,-0.4,-0.61066
1.0436,804.48,-164.83
1.0444,-0.4,-3.8704
1.0258,-5.2828,-2.8296
0.94855,-10.166,-1.554
0.77365,-19.931,1.0901
0.49621,-29.697,4.1467
0.22366,-19.931,3.2804
0.073172,-10.166,1.9279
0.0008125,-0.4,0.26396
-0.04225,-5.2828,1.413
-0.070664,-5.2828,1.5272
-0.089312,-0.4,0.62609
-0.11773,-5.2828,1.7173
-0.16079,-5.2828,1.891
-0.1892,-0.4,1.0299
-0.20297,-0.4,1.0869
-0.22162,-0.4,1.1636
-0.25003,-0.4,1.2796
-0.28333,-5.2828,2.3921
-0.30686,-0.4,1.5126
-0.32551,-0.4,1.5904
-0.33927,-0.4,1.6488
-0.34327,-0.4,1.6682
-0.34239,-0.4,1.6681
-0.33174,4.4828,0.6523
-0.32109,-0.4,1.5895
-0.30068,4.4828,0.53441
-0.29003,-0.4,1.4713
-0.2745,-0.4,1.412
-0.26385,-0.4,1.3721
-0.2532,4.4828,0.35555
-0.25232,-0.4,1.3311
-0.24655,-0.4,1.3105
-0.24567,4.4828,0.33293
-0.24967,-0.4,1.328
-0.24879,-0.4,1.3269
-0.24791,4.4828,0.34935
-0.25191,-0.4,1.3444
-0.25102,-0.4,1.3434
-0.24526,4.4828,0.34628
-0.23949,-0.4,1.3022
